Brent,SandP,DowJones,DAX
42.66,3426.96,28133.31,12842.66
39.78,3331.84,27500.89,12968.33
40.79,3398.96,27940.47,13237.21
40.06,3339.19,27534.58,13208.89
39.83,3340.97,27665.64,13202.84
39.61,3383.54,27993.33,13193.66
40.53,3401.20,27995.60,13217.67
42.22,3385.49,28032.38,13255.37
43.30,3357.01,27901.98,13208.12
43.15,3319.47,27657.42,13116.25
41.44,3281.06,27147.70,12542.44
41.72,3315.57,27288.18,12594.39
41.77,3236.92,26763.13,12642.97
41.94,3246.59,26815.44,12606.57
41.92,3298.46,27173.96,12469.20
42.43,3351.60,27584.06,12870.87
41.03,3335.47,27452.66,12825.82
40.95,3363.00,27781.70,12760.73
40.93,3380.80,27816.90,12730.77
39.27,3348.44,27682.81,12689.04
41.29,3408.63,28148.64,12828.31
42.65,3360.95,27772.76,12906.02
41.99,3419.45,28303.46,12928.57
43.34,3446.83,28425.51,13042.21
42.85,3477.13,28586.90,13051.23
41.72,3534.22,28837.52,13138.41
42.45,3511.93,28679.81,13018.99
43.32,3488.67,28514.00,13028.06
43.16,3483.34,28494.20,12703.75
42.93,3483.81,28606.31,12908.99
42.62,3426.92,28195.42,12854.66
43.16,3443.12,28308.79,12736.95
41.73,3435.56,28210.82,12557.64
42.46,3453.49,28363.66,12543.06
41.77,3465.39,28335.57,12645.75
40.46,3400.97,27685.38,12177.18
41.20,3390.68,27463.19,12063.57
39.12,3271.03,26519.95,11560.51
37.65,3310.11,26659.11,11598.07
37.46,3269.96,26501.60,11556.48
38.97,3310.24,26925.05,11784.10
39.71,3369.16,27480.03,12088.98
41.23,3443.44,27847.66,12324.22
40.93,3510.45,28390.18,12568.09
39.45,3509.44,28323.40,12480.02
42.40,3550.50,29157.97,13095.97
43.61,3545.53,29420.92,13163.11
43.80,3572.66,29397.63,13216.18
43.53,3537.01,29080.17,13052.95
42.78,3585.15,29479.81,13076.72
43.82,3626.91,29950.44,13138.61
43.75,3609.53,29783.35,13133.47
44.34,3567.79,29438.42,13201.89
44.20,3581.87,29483.23,13086.16
44.96,3557.54,29263.48,13137.25
46.06,3577.59,29591.27,13126.97
47.86,3635.41,30046.24,13292.44
48.61,3629.65,29872.47,13289.80
48.18,3638.35,29910.37,13335.68
47.59,3621.63,29638.64,13291.16
47.42,3662.45,29823.92,13382.30
48.25,3669.01,29883.79,13313.24
48.71,3666.72,29969.52,13252.86
49.25,3699.12,30218.26,13298.96
48.79,3691.96,30069.79,13271.00
48.84,3702.25,30173.88,13278.49
48.86,3672.82,30068.81,13340.26
50.25,3668.10,29999.26,13295.73
49.97,3663.46,30046.37,13114.30
50.29,3647.49,29861.55,13223.16
50.76,3694.62,30199.31,13362.87
51.08,3701.17,30154.54,13565.98
51.50,3722.48,30303.37,13667.25
52.26,3709.41,30179.05,13630.51
50.91,3694.92,30216.45,13246.30
50.08,3687.26,30015.51,13418.11
51.20,3690.01,30129.83,13587.23
50.86,3735.36,30403.97,13790.29
51.09,3727.04,30335.67,13761.38
51.34,3732.04,30409.56,13718.78
