Days,WTI,Brent,S&P500,DowJones,DAX,Nasdaq100 
4,22.60,26.34,2630.07,22552.17,10000.96,7897.13
5,21.51,24.93,2541.47,21636.78,9632.52,7588.37
1,20.09,22.76,2626.65,22327.48,9815.97,7889.01
2,20.48,22.74,2584.59,21917.16,9935.84,7813.50
3,20.31,24.74,2470.50,20943.51,9544.75,7486.29
4,25.32,29.94,2526.90,21413.44,9570.82,7635.66
5,28.34,34.11,2488.65,21052.53,9525.77,7528.11
1,26.08,33.05,2663.68,22679.99,10075.17,8081.66
2,23.63,31.87,2659.41,22653.86,10356.70,8049.31
3,25.09,32.84,2749.98,23433.57,10332.89,8229.54
4,22.76,31.48,2789.82,23719.37,10564.74,8238.53
2,20.11,29.60,2846.06,23949.76,10696.56,8692.16
3,19.87,27.69,2783.36,23504.35,10279.76,8591.96
4,19.87,27.82,2799.55,23537.68,10301.54,8757.83
5,18.27,28.08,2874.56,24242.49,10625.78,8832.41
2,10.01,19.33,2736.56,23018.88,10249.85,8403.00
3,13.78,20.37,2799.31,23475.82,10415.03,8664.63
4,16.50,21.33,2797.80,23515.26,10513.79,8641.50
5,16.94,21.44,2836.74,23775.27,10336.09,8786.60
1,12.78,19.99,2878.48,24133.78,10659.99,8837.66
2,12.34,20.46,2863.39,24101.55,10795.63,8677.60
3,15.06,22.54,2939.51,24633.86,11107.74,8982.76
4,18.84,25.27,2912.43,24345.72,10861.64,9000.51
1,20.39,27.20,2842.74,23749.76,10466.80,8834.11
2,24.56,30.97,2868.44,23883.09,10729.46,8930.62
3,23.99,29.72,2848.42,23664.64,10606.20,8984.86
4,23.55,29.46,2881.19,23875.89,10759.27,9101.88
5,24.74,30.97,2929.80,24331.32,10904.48,9220.35
1,24.14,29.63,2930.32,24221.99,10824.99,9298.92
2,25.78,29.98,2870.12,23764.78,10819.50,9112.45
3,25.29,29.19,2820.00,23247.97,10542.66,9000.08
4,27.56,31.13,2852.50,23625.34,10337.02,9094.42
5,29.43,32.50,2863.70,23685.42,10465.17,9152.64
1,31.82,34.81,2953.91,24597.37,11058.87,9331.93
2,32.50,34.65,2922.94,24206.86,11075.29,9298.54
3,33.49,35.75,2971.61,24575.90,11223.71,9485.02
4,33.92,36.06,2948.51,24474.12,11065.93,9377.99
5,33.25,35.13,2955.45,24465.16,11073.87,9413.99
2,34.35,36.17,2991.77,24995.11,11504.65,9389.98
3,32.81,34.74,3036.13,25548.27,11657.69,9442.05
4,33.71,35.29,3029.73,25400.64,11781.13,9416.71
5,35.49,35.33,3044.31,25383.11,11586.85,9555.53
2,36.81,39.57,3080.82,25742.65,12021.28,9657.31
3,37.29,39.79,3122.87,26269.89,12487.36,9704.69
4,37.41,39.99,3112.35,26281.82,12430.56,9629.66
5,39.55,42.30,3193.93,27110.98,12847.68,9824.39
1,38.19,40.80,3232.39,27572.44,12819.59,9901.52
2,38.94,41.18,3207.18,27272.30,12617.99,9967.17
3,39.60,41.73,3190.14,26989.99,12530.16,10094.26
4,36.34,38.55,3002.10,25128.17,11970.29,9588.48
5,36.26,38.73,3041.31,25605.54,11949.28,9663.78
1,37.12,39.72,3066.59,25763.16,11911.35,9776.89
2,38.38,40.96,3124.74,26289.98,12315.66,9949.37
3,37.96,40.71,3113.49,26119.61,12382.14,9982.48
4,38.84,41.51,3115.34,26080.10,12281.53,10012.05
5,39.75,42.19,3097.74,25871.46,12330.76,10008.64
1,40.46,43.08,3117.86,26024.96,12262.97,10130.33
2,40.37,42.63,3131.29,26156.10,12523.76,10209.82
3,38.01,40.31,3050.33,25445.94,12093.94,10002.70
4,38.72,41.05,3083.76,25745.60,12177.87,10101.83
5,38.49,41.02,3009.05,25015.55,12089.39,9849.36
1,39.70,41.71,3053.24,25595.80,12232.12,9961.16
2,39.27,41.15,3100.29,25812.88,12310.93,10156.85
3,39.82,42.03,3115.86,25734.97,12260.57,10279.25
4,40.65,43.14,3130.01,25827.36,12608.46,10341.89
1,40.63,43.10,3179.72,26287.03,12733.45,10604.06
2,40.62,43.08,3145.32,25890.18,12616.80,10524.01
3,40.90,43.29,3169.94,26067.28,12494.81,10666.70
