WTI,SandP,DAX,Nasdaq
39.77,3426.96,12842.66,11622.13
36.76,3331.84,12968.33,11068.26
38.05,3398.96,13237.21,11395.85
37.30,3339.19,13208.89,11154.12
37.33,3340.97,13202.84,11087.40
37.26,3383.54,13193.66,11277.76
38.28,3401.20,13217.67,11438.87
40.16,3385.49,13255.37,11247.60
40.97,3357.01,13208.12,11080.95
41.11,3319.47,13116.25,10936.98
39.31,3281.06,12542.44,10980.22
39.60,3315.57,12594.39,11186.37
39.93,3236.92,12642.97,10833.33
40.31,3246.59,12606.57,10896.47
40.25,3298.46,12469.20,11151.13
40.60,3351.60,12870.87,11364.45
39.29,3335.47,12825.82,11322.95
40.22,3363.00,12760.73,11418.06
38.72,3380.80,12730.77,11583.20
37.05,3348.44,12689.04,11255.69
39.22,3408.63,12828.31,11509.06
40.67,3360.95,12906.02,11291.27
39.95,3419.45,12928.57,11503.19
41.19,3446.83,13042.21,11550.94
40.60,3477.13,13051.23,11725.85
39.43,3534.22,13138.41,12088.11
40.20,3511.93,13018.99,12083.17
41.04,3488.67,13028.06,11985.36
40.96,3483.34,12703.75,11898.57
40.88,3483.81,12908.99,11852.17
40.83,3426.92,12854.66,11634.35
41.46,3443.12,12736.95,11677.84
40.03,3435.56,12557.64,11665.37
40.64,3453.49,12543.06,11662.91
39.85,3465.39,12645.75,11692.57
38.56,3400.97,12177.18,11504.52
39.57,3390.68,12063.57,11598.95
37.39,3271.03,11560.51,11142.76
36.17,3310.11,11598.07,11350.74
35.79,3269.96,11556.48,11052.95
36.81,3310.24,11784.10,11084.76
37.66,3369.16,12088.98,11279.91
39.15,3443.44,12324.22,11777.02
38.79,3510.45,12568.09,12078.07
37.14,3509.44,12480.02,12091.35
40.29,3550.50,13095.97,11830.38
41.36,3545.53,13163.11,11624.29
41.45,3572.66,13216.18,11892.93
41.12,3537.01,13052.95,11827.14
40.13,3585.15,13076.72,11937.84
41.34,3626.91,13138.61,12013.38
41.43,3609.53,13133.47,11977.49
41.82,3567.79,13201.89,11894.71
41.74,3581.87,13086.16,11985.43
42.15,3557.54,13137.25,11906.44
43.06,3577.59,13126.97,11905.94
44.91,3635.41,13292.44,12079.81
45.71,3629.65,13289.80,12152.21
45.53,3638.35,13335.68,12258.21
45.34,3621.63,13291.16,12268.32
44.55,3662.45,13382.30,12455.33
45.28,3669.01,13313.24,12456.41
45.64,3666.72,13252.86,12467.13
46.26,3699.12,13298.96,12528.48
45.76,3691.96,13271.00,12596.47
45.60,3702.25,13278.49,12635.72
45.52,3672.82,13340.26,12364.64
46.78,3668.10,13295.73,12401.74
46.57,3663.46,13114.30,12375.41
46.99,3647.49,13223.16,12462.21
47.62,3694.62,13362.87,12595.92
47.82,3701.17,13565.98,12668.16
48.36,3722.48,13667.25,12752.06
49.10,3709.41,13630.51,12738.18
47.74,3694.92,13246.30,12690.26
47.02,3687.26,13418.11,12717.56
48.12,3690.01,13587.23,12653.14
47.62,3735.36,13790.29,12838.86
48.00,3727.04,13761.38,12843.49
48.40,3732.04,13718.78,12845.36
