Brent,DowJones,DAX,Nasdaq
42.66,28133.31,12842.66,11622.13
39.78,27500.89,12968.33,11068.26
40.79,27940.47,13237.21,11395.85
40.06,27534.58,13208.89,11154.12
39.83,27665.64,13202.84,11087.40
39.61,27993.33,13193.66,11277.76
40.53,27995.60,13217.67,11438.87
42.22,28032.38,13255.37,11247.60
43.30,27901.98,13208.12,11080.95
43.15,27657.42,13116.25,10936.98
41.44,27147.70,12542.44,10980.22
41.72,27288.18,12594.39,11186.37
41.77,26763.13,12642.97,10833.33
41.94,26815.44,12606.57,10896.47
41.92,27173.96,12469.20,11151.13
42.43,27584.06,12870.87,11364.45
41.03,27452.66,12825.82,11322.95
40.95,27781.70,12760.73,11418.06
40.93,27816.90,12730.77,11583.20
39.27,27682.81,12689.04,11255.69
41.29,28148.64,12828.31,11509.06
42.65,27772.76,12906.02,11291.27
41.99,28303.46,12928.57,11503.19
43.34,28425.51,13042.21,11550.94
42.85,28586.90,13051.23,11725.85
41.72,28837.52,13138.41,12088.11
42.45,28679.81,13018.99,12083.17
43.32,28514.00,13028.06,11985.36
43.16,28494.20,12703.75,11898.57
42.93,28606.31,12908.99,11852.17
42.62,28195.42,12854.66,11634.35
43.16,28308.79,12736.95,11677.84
41.73,28210.82,12557.64,11665.37
42.46,28363.66,12543.06,11662.91
41.77,28335.57,12645.75,11692.57
40.46,27685.38,12177.18,11504.52
41.20,27463.19,12063.57,11598.95
39.12,26519.95,11560.51,11142.76
37.65,26659.11,11598.07,11350.74
37.46,26501.60,11556.48,11052.95
38.97,26925.05,11784.10,11084.76
39.71,27480.03,12088.98,11279.91
41.23,27847.66,12324.22,11777.02
40.93,28390.18,12568.09,12078.07
39.45,28323.40,12480.02,12091.35
42.40,29157.97,13095.97,11830.38
43.61,29420.92,13163.11,11624.29
43.80,29397.63,13216.18,11892.93
43.53,29080.17,13052.95,11827.14
42.78,29479.81,13076.72,11937.84
43.82,29950.44,13138.61,12013.38
43.75,29783.35,13133.47,11977.49
44.34,29438.42,13201.89,11894.71
44.20,29483.23,13086.16,11985.43
44.96,29263.48,13137.25,11906.44
46.06,29591.27,13126.97,11905.94
47.86,30046.24,13292.44,12079.81
48.61,29872.47,13289.80,12152.21
48.18,29910.37,13335.68,12258.21
47.59,29638.64,13291.16,12268.32
47.42,29823.92,13382.30,12455.33
48.25,29883.79,13313.24,12456.41
48.71,29969.52,13252.86,12467.13
49.25,30218.26,13298.96,12528.48
48.79,30069.79,13271.00,12596.47
48.84,30173.88,13278.49,12635.72
48.86,30068.81,13340.26,12364.64
50.25,29999.26,13295.73,12401.74
49.97,30046.37,13114.30,12375.41
50.29,29861.55,13223.16,12462.21
50.76,30199.31,13362.87,12595.92
51.08,30154.54,13565.98,12668.16
51.50,30303.37,13667.25,12752.06
52.26,30179.05,13630.51,12738.18
50.91,30216.45,13246.30,12690.26
50.08,30015.51,13418.11,12717.56
51.20,30129.83,13587.23,12653.14
50.86,30403.97,13790.29,12838.86
51.09,30335.67,13761.38,12843.49
51.34,30409.56,13718.78,12845.36
