WTI,SandP,DowJones,Nasdaq
39.77,3426.96,28133.31,11622.13
36.76,3331.84,27500.89,11068.26
38.05,3398.96,27940.47,11395.85
37.30,3339.19,27534.58,11154.12
37.33,3340.97,27665.64,11087.40
37.26,3383.54,27993.33,11277.76
38.28,3401.20,27995.60,11438.87
40.16,3385.49,28032.38,11247.60
40.97,3357.01,27901.98,11080.95
41.11,3319.47,27657.42,10936.98
39.31,3281.06,27147.70,10980.22
39.60,3315.57,27288.18,11186.37
39.93,3236.92,26763.13,10833.33
40.31,3246.59,26815.44,10896.47
40.25,3298.46,27173.96,11151.13
40.60,3351.60,27584.06,11364.45
39.29,3335.47,27452.66,11322.95
40.22,3363.00,27781.70,11418.06
38.72,3380.80,27816.90,11583.20
37.05,3348.44,27682.81,11255.69
39.22,3408.63,28148.64,11509.06
40.67,3360.95,27772.76,11291.27
39.95,3419.45,28303.46,11503.19
41.19,3446.83,28425.51,11550.94
40.60,3477.13,28586.90,11725.85
39.43,3534.22,28837.52,12088.11
40.20,3511.93,28679.81,12083.17
41.04,3488.67,28514.00,11985.36
40.96,3483.34,28494.20,11898.57
40.88,3483.81,28606.31,11852.17
40.83,3426.92,28195.42,11634.35
41.46,3443.12,28308.79,11677.84
40.03,3435.56,28210.82,11665.37
40.64,3453.49,28363.66,11662.91
39.85,3465.39,28335.57,11692.57
38.56,3400.97,27685.38,11504.52
39.57,3390.68,27463.19,11598.95
37.39,3271.03,26519.95,11142.76
36.17,3310.11,26659.11,11350.74
35.79,3269.96,26501.60,11052.95
36.81,3310.24,26925.05,11084.76
37.66,3369.16,27480.03,11279.91
39.15,3443.44,27847.66,11777.02
38.79,3510.45,28390.18,12078.07
37.14,3509.44,28323.40,12091.35
40.29,3550.50,29157.97,11830.38
41.36,3545.53,29420.92,11624.29
41.45,3572.66,29397.63,11892.93
41.12,3537.01,29080.17,11827.14
40.13,3585.15,29479.81,11937.84
41.34,3626.91,29950.44,12013.38
41.43,3609.53,29783.35,11977.49
41.82,3567.79,29438.42,11894.71
41.74,3581.87,29483.23,11985.43
42.15,3557.54,29263.48,11906.44
43.06,3577.59,29591.27,11905.94
44.91,3635.41,30046.24,12079.81
45.71,3629.65,29872.47,12152.21
45.53,3638.35,29910.37,12258.21
45.34,3621.63,29638.64,12268.32
44.55,3662.45,29823.92,12455.33
45.28,3669.01,29883.79,12456.41
45.64,3666.72,29969.52,12467.13
46.26,3699.12,30218.26,12528.48
45.76,3691.96,30069.79,12596.47
45.60,3702.25,30173.88,12635.72
45.52,3672.82,30068.81,12364.64
46.78,3668.10,29999.26,12401.74
46.57,3663.46,30046.37,12375.41
46.99,3647.49,29861.55,12462.21
47.62,3694.62,30199.31,12595.92
47.82,3701.17,30154.54,12668.16
48.36,3722.48,30303.37,12752.06
49.10,3709.41,30179.05,12738.18
47.74,3694.92,30216.45,12690.26
47.02,3687.26,30015.51,12717.56
48.12,3690.01,30129.83,12653.14
47.62,3735.36,30403.97,12838.86
48.00,3727.04,30335.67,12843.49
48.40,3732.04,30409.56,12845.36
