Brent,SandP,DAX,Nasdaq
42.66,3426.96,12842.66,11622.13
39.78,3331.84,12968.33,11068.26
40.79,3398.96,13237.21,11395.85
40.06,3339.19,13208.89,11154.12
39.83,3340.97,13202.84,11087.40
39.61,3383.54,13193.66,11277.76
40.53,3401.20,13217.67,11438.87
42.22,3385.49,13255.37,11247.60
43.30,3357.01,13208.12,11080.95
43.15,3319.47,13116.25,10936.98
41.44,3281.06,12542.44,10980.22
41.72,3315.57,12594.39,11186.37
41.77,3236.92,12642.97,10833.33
41.94,3246.59,12606.57,10896.47
41.92,3298.46,12469.20,11151.13
42.43,3351.60,12870.87,11364.45
41.03,3335.47,12825.82,11322.95
40.95,3363.00,12760.73,11418.06
40.93,3380.80,12730.77,11583.20
39.27,3348.44,12689.04,11255.69
41.29,3408.63,12828.31,11509.06
42.65,3360.95,12906.02,11291.27
41.99,3419.45,12928.57,11503.19
43.34,3446.83,13042.21,11550.94
42.85,3477.13,13051.23,11725.85
41.72,3534.22,13138.41,12088.11
42.45,3511.93,13018.99,12083.17
43.32,3488.67,13028.06,11985.36
43.16,3483.34,12703.75,11898.57
42.93,3483.81,12908.99,11852.17
42.62,3426.92,12854.66,11634.35
43.16,3443.12,12736.95,11677.84
41.73,3435.56,12557.64,11665.37
42.46,3453.49,12543.06,11662.91
41.77,3465.39,12645.75,11692.57
40.46,3400.97,12177.18,11504.52
41.20,3390.68,12063.57,11598.95
39.12,3271.03,11560.51,11142.76
37.65,3310.11,11598.07,11350.74
37.46,3269.96,11556.48,11052.95
38.97,3310.24,11784.10,11084.76
39.71,3369.16,12088.98,11279.91
41.23,3443.44,12324.22,11777.02
40.93,3510.45,12568.09,12078.07
39.45,3509.44,12480.02,12091.35
42.40,3550.50,13095.97,11830.38
43.61,3545.53,13163.11,11624.29
43.80,3572.66,13216.18,11892.93
43.53,3537.01,13052.95,11827.14
42.78,3585.15,13076.72,11937.84
43.82,3626.91,13138.61,12013.38
43.75,3609.53,13133.47,11977.49
44.34,3567.79,13201.89,11894.71
44.20,3581.87,13086.16,11985.43
44.96,3557.54,13137.25,11906.44
46.06,3577.59,13126.97,11905.94
47.86,3635.41,13292.44,12079.81
48.61,3629.65,13289.80,12152.21
48.18,3638.35,13335.68,12258.21
47.59,3621.63,13291.16,12268.32
47.42,3662.45,13382.30,12455.33
48.25,3669.01,13313.24,12456.41
48.71,3666.72,13252.86,12467.13
49.25,3699.12,13298.96,12528.48
48.79,3691.96,13271.00,12596.47
48.84,3702.25,13278.49,12635.72
48.86,3672.82,13340.26,12364.64
50.25,3668.10,13295.73,12401.74
49.97,3663.46,13114.30,12375.41
50.29,3647.49,13223.16,12462.21
50.76,3694.62,13362.87,12595.92
51.08,3701.17,13565.98,12668.16
51.50,3722.48,13667.25,12752.06
52.26,3709.41,13630.51,12738.18
50.91,3694.92,13246.30,12690.26
50.08,3687.26,13418.11,12717.56
51.20,3690.01,13587.23,12653.14
50.86,3735.36,13790.29,12838.86
51.09,3727.04,13761.38,12843.49
51.34,3732.04,13718.78,12845.36
